,Tweet,Target,Stance,Opinion Towards,Sentiment
2110,meet enough word describe envy haha #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2111,thank much rt #wakeupamerica #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2112,republican donor numerous candidate put money dem basically one go get kill financially #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2113,help cuckold conservative win cuckoldry please #uniteblue #christie2016 #semst #donaldtrump #p2,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2114,chris christie president hahahahaha think #hilary #clinton #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2115,hahahaha comb email bunch scumbag #nohillary2016 #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2116,love talk yvette today education woman voice politic wait see caucus day #semst #fellowsia,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2117,wait say thank god voter sry mean thank goodness offense intend # #benghazi #semst ##tcot,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2118,exactly want see happen america #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2119,enthusiasm gap lawrence #hillarymen #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2120,hillary prez obama third term last thing need #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2121,one thing painful mindless minutia strap hanging cle force endure #semst #huma,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2122,guy multicolored shirt look chi fuck #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2123,insurgent happen hillary become dictator chief #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2124,expect make good financial decision manage multimillion salary break #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2125,shhh get iced tea #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2126,actually disqualify run many scam ethic problem #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2127,claim fault man behind wheel #teaparty #gop #christie2016 #tcot #semst #bridgegate #dem,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2128,#centerhitler. #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2129,hour leave let chip nevada #semst #raisethenewpotus,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2130,anyone believe single word come woman mouth beyond #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2131,tweet candidate read article esp make bad #guncontrol #gunviolence #semst #gunsen... #jebbush,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2132,hey check blog kudo keep #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2133,owner univisin donate much million clinton foundation wife sit board #univision #semst #trump,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2134,hillary enough time doctor email inbox advantage release hahaha #semst #justkidding,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2135,operating shredder way adept use #ohhillno! #wakeupamerica #semst #tcot,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2136,gee busy schedule #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
2137,use calling approval run story #hillaryemails #semst #likehillary,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2138,white middle aged man pretty good job lead country yrs racist sexist realist #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2139,mistake lie cover way life #semst #uniteblue #hillaryclinton #tcot,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2140,hillary use fuck fax machine idiot go vote president #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2141,likely felon many time protect political class #semst #hillary,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2142,support let see many people unfollow #semst #2016election,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2143,still weak among grassroot show strong get fast little #semst #berniesanders #hillary's,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2144,raise money like incumbent president stop pretend win nominee #semst #hillary,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2145,americans value society call vote #internationaljokeday #liberallogic #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2146,free market capitalism america good friend constant pressure innovate use resource efficiently #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2147,thank kind rt favs #wakeupamerica #todosmarchamos #semst #cuba,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2148,hillary campaign raise million donation less record beat obama record #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2149,win black put focus racial tension black white #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2150,formidable competent person #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2151,outrage smoke mirror candidate hide hill #semst #spillhill,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2152,really excited find amount raise get #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2153,otherwise guarantee gop control branch #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2154,agree put back feeling win away keep come back #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2155,lear jet fax machine lol woman people #semst #slushfund #uraniumdeal #sniperfire #besttheyvegot,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2156,email come already say server erase #lies #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2157,dream hilary clinton last night mean plan control take world come true #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2158,glad slice round #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2159,administration lie know private transparency #hillaryemails #semst #obama,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2160,dude hillary run fax machine #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2161,right #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2162,man demand staff get ice tea call sexist elitist pig oink oink #semst #hillary,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2163,nominee democratic party period go win presidency #semst #sorrybernie,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2164,say couple facebook #rednationrising #emails #semst #totalincompetence,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2165,fine leave usa never come back #cruz2016 #semst #oip,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2166,birthday july anyone need gift idea #chillaryclinton #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
2167,look forward expand major export pick truck convert raft exciting #semst #cuba #tcot,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2168,want president term please make happen lol fine #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2169,would fire congress job could #gopfail #semst #askpotus #gop,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2170,email release rest boring #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2171,hey transparent santa #benghazi #pay2play #monica #corruptocrat #tcot #libhack #semst #vincefoster,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2172,take easy side show democrat fun get back reality nov #semst #berniesanders,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2173,kool aid drink leftanista continue close rank support madame secretary wtf hillary fraud full lie #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2174,trump inauguration speech god forbid china mention yet hairspray china #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2175,rfwheels davidjone rratkinson right mean heck #d... #votejkt48id #semst #kca #hillaryemails #arabdonorgroup,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2176,open office iowa week play around #semst #iacaucus,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2177,obama give americans overtime pay republicans give americans welfare check #semst #uniteblue #tcot,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2178,make sure make brew house pella tomorrow @ meet supporter #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2179,ignore latino candidate marco rubio fit narrative invest hillary #univision #semst #rubio2016,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2180,overheard davenport open house know facebook #digitalorganizing #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
2181,qualified eat snack corruption big fat bully #semst #bridgegate,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2182,inaugural tweet new account #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2183,like tweet way back software fix gop strategic mistake repeal fix #semst #aca,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2184,love joe bernie old would end president #oneterm #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2185,name rio dance sanaaaaand whoooo #semst #tcot,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2186,hillary campaign shortly announce sander bear canada yeah #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2187,bill clinton decide take bin laden get september #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2188,yawnzzzzzzzzzzzzzz could keep going full amt tweet character get point #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2189,democrats create qaeda create nuclear isis think #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2190,kind scare still thousand email release hillary private email #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2191,keep beauty pageant afloat want president hell #thedonald #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2192,know emailgate must go nowhere fox news hash bosnia sniper fire story #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2193,big booty bitch big big booty bitch #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2194,love bern time #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
2195,good business presidential seat #semst #hillaryclinton,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2196,great support gmo crop like scepticism science belief #semst #jebbush,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2197,folk happen liberal control hell break loose enough yet #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2198,need scream like little baby ten minute arrive #semst #ptown.,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2199,big dump bad info holiday weekend come state dept today #hillaryemails #semst #liarliar,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2200,leader free world global navigating interact international community beyond big crowd learn lesson #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2201,pantsuit camouflage outfit carefully tailor minimize silhouette think stealthsuit high tech #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2202,order chillary clinton koozie get support team #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2203,expect change continue vote people take chance yrs long #semst #bernie2016,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2204,good defend big mouth giant ego downfall #semst #stupidisasstupiddoes,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2205,hillary must navy yard sniper fire #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2206,choose take village #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2207,least lose embassy cover murder burn govt email #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2208,lie long first fib morse code #semst #hillary #hillno2016,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2209,everyday americans family need champion hillary champion #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2210,run president need say #ineedmeninist #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2211,cruz perry win win choice #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2212,think run antisocial personal attack advertising lol #cpc #fnpoli #socialmedia! #cdnpoli #semst #stopharper #feelthebern,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2213,bernie sander record crowd madison wis mention guy talk trump #semst #trump,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
2214,ask help campaign gladly excitedly accept #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2215,come iowa well usa row #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2216,pundit say jim webb face uphill battle hillary really bernie anti hillary vote #jimwebb #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2217,exciting hear fellow across country tonight call special shout #semst #fellowsia.,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2218,hillary right thing stay focus campaign #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2219,realize one want #ayyylmao #liberals #democrats #semst #obamanation #hillaryclinton,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2220,thank follow david may god bless family #freeallfour #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2221,even manage want #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2222,even manage want #stophillary2016 #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2223,even manage want #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2224,even manage want #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2225,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2226,woman like teflon commit enuf egregious crime superglue dang wall #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2227,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2228,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2229,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2230,know go lose hrc keep try #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2231,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2232,support support another term policy george bush #semst #democrats #mepolitics,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2233,welcome little sister love #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2234,even manage want #stophillary2016 #wakeupamerica #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2235,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2236,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2237,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2238,another supporter commit caucus tonight one step way win iowa caucus #semst #hillary,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2239,even manage want #stophillary2016 #wakeupamerica #semst #lol,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2240,thankful volunteer join bliss studio fairfield tonight #semst #rockstars,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2241,revealing part hillary release email pretty much boring mine #semst #nofriends,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2242,good side offer nothing worry slick #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2243,without black minority voter happen #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2244,resonate minority black voter #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2245,vote hillary #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2246,even little bit #semst #nobama #wemissyougipper,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2247,voting base politician lead country even handle email #semst #putin #nothingmoreamericanthan #think,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2248,vote politician lead country even handle email #semst #putin #nothingmoreamericanthan #think,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2249,people surprising trump fiorina cause honest think obama build #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2250,believe santa hairstylist okay often need code #lies #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2251,jimmy fallon music play thank drive latinos gay vote million love #donaldtrump #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2252,give rate ass old queen say clarence thomas #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2253,excited hear speak #semst #hanover #hillaryinnh,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2254,like adolph hitler synagogue #uniteblue #hillaryinnh #ctot #tcot #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2255,welcome twitter proud #tn #alllivesmatter #socialjustice #tngov #uniteblue~ #semst #unity #waronwomen #worldpeace,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2256,volunteer local campaign weekend help build team hillary march bethesda #md #semst,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2257,think think ever vote someone dual citizenship believe legal #semst #bernie,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2258,clinton entitlement proverbial american hemorrhoid #semst #opinionated #tcot,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2259,norman hsu illegally donate evidence work china white house sale #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2260,would agree would surprised get nom jeb bush money moderate #semst,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
2261,lie cost gala fine jail unfit office #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2262,fabulous hit every subject proud end note kindness #semst #hillaryinnh,Hillary Clinton,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2263,insult people know resign #sociopaths #psychopaths. #semst #socialmedia #feelthebern,Hillary Clinton,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2264,could anyone vote woman #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2265,hillary nose lie big bill cigar #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2266,bur raise million #semst #hlllary,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
2267,hopefully hillary clinton get cancer die get opportunity embarrass country far #semst #july4th,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2268,hear peter gunn theme go kick serious gop ass #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2269,least mistake make candidate campaign felony like one make #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
2270,great comment pathological liar #semst #hillaryclinton,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2271,wish bernie fan would stop scream #semst #bernie2016,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2272,honest voice scare shit everyone #semst,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2273,tht never erase support doma silence right politically aventageous #semst #lgbtq #lgbt,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2274,fortunately bryan say #freeallfour #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2275,super touch stupid please away #nycpride #nyc #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2276,lie everything else even confront truth #freeallfour #semst,Hillary Clinton,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
2277,river wood hill yass #semst #hillary #hillaryclinton,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
2278,big hillary clinton supporter plan work poor donnie even know #semst #trump2016,Hillary Clinton,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
